Building, Lat, Long

Bonar Hall, -2.97713088989258, 56.4574928283691 
Scrymgeour Building, -2.97791862487793, 56.4579620361328
Tower Building, -2.97839140892029, 56.4572868347168
Carnelley Building, -2.97865796089172, 56.4578437805176
Old Technical Institute, -2.97904992103577, 56.4574127197266
Old Medical School, -2.97932958602905, 56.4576606750488
Dental Hospital, -2.97951459884644, 56.4585456848145
Fleming Building, -2.97984385490417, 56.4574356079102
Ellenbank & Union Mount, -2.98000597953796, 56.4570274353027
Harris Building, -2.98014616966248, 56.457706451416
Ewing Building, -2.98023748397827, 56.458194732666
Geddes Quadrangle, -2.98037600517273, 56.4573249816895
Carnegie Building, -2.9806444644928, 56.4572105407715
Fulton Building, -2.98073434829712, 56.4588088989258
Library and Learning Centre, -2.9808201789856, 56.4581909179688
Peters Building, -2.98097610473633, 56.4574661254883
The Chaplaincy Centre, -2.98159289360046, 56.4580192565918
DUSA The Union, -2.98220300674438, 56.457633972168
Dalhousie Building, -2.9822518825531, 56.4593467712402
Queen Mother Building, -2.98276495933533, 56.4586372375488
Duncan of Jordanstone College of Art & Design, -2.98336482048035, 56.4565048217773
Heathfield Residences, -2.98352241516113, 56.4592552185059
Belmont flats & tower, -2.98408150672913, 56.4581756591797
Hawkhill House, -2.98409914970398, 56.4572830200195
Institute of Sport & Exercise (ISE), -2.98468899726868, 56.4587440490723
Life Sciences Complex, -2.9855432510376, 56.4580001831055
